Año,Formación Política,Origen,Fuente,Tipo,Concepto,Cuantia
2011,Unión Progreso y Democracia,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"1070570,89"
2011,Unión Progreso y Democracia,Pública,Subvención,Funcionamiento Ordinario,Gobiernos Autonómicos,"53415,41"
2011,Unión Progreso y Democracia,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"85655,39"
2011,Unión Progreso y Democracia,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"476114,45"
2011,Unión Progreso y Democracia,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"192107,68"
2011,Unión Progreso y Democracia,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"361224,83"
2011,Unión Progreso y Democracia,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","1039982,98"
2011,Unión Progreso y Democracia,Privada,Particulares,Particulares,Donaciones,"132232,82"
2011,Unión Progreso y Democracia,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"95858,09"
2011,Unión Progreso y Democracia,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"2947216,45"
2011,Unión del Pueblo Navarro,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"476241,2"
2011,Unión del Pueblo Navarro,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"94459,01"
2011,Unión del Pueblo Navarro,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"976701,05"
2011,Unión del Pueblo Navarro,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"67108,48"
2011,Unión del Pueblo Navarro,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"105358,37"
2011,Unión del Pueblo Navarro,Pública,Subvención,Electoral,Elecciones Autonómicas 22/05/2011,"409851,56"
2011,Unión del Pueblo Navarro,Pública,Subvención,Electoral,Elecciones Generales 22/11/2011,"96196,24"
2011,Unión del Pueblo Navarro,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes",70053
2011,Unión del Pueblo Navarro,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"31360,97"
2011,Unión del Pueblo Navarro,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"281866,55"
2011,Unió Democrática de Catalunya,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"660829,41"
2011,Unió Democrática de Catalunya,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"78364,32"
2011,Unió Democrática de Catalunya,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes",310075
2011,Unió Democrática de Catalunya,Privada,Particulares,Particulares,Donaciones,627450
2011,Unió Democrática de Catalunya,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"843977,27"
2011,Unió Democrática de Catalunya,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"16276780,13"
2011,Partit dels Socialistes de Catalunya,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"5725686,96"
2011,Partit dels Socialistes de Catalunya,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"4030287,19"
2011,Partit dels Socialistes de Catalunya,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"3707929,56"
2011,Partit dels Socialistes de Catalunya,Pública,Subvención,Electoral,Parlamento de Cataluña 28/11/2010,"1243088,2"
2011,Partit dels Socialistes de Catalunya,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"1695096,82"
2011,Partit dels Socialistes de Catalunya,Pública,Subvención,Electoral,Elecciones Generales 22/11/2011,"887545,54"
2011,Partit dels Socialistes de Catalunya,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","1127244,95"
2011,Partit dels Socialistes de Catalunya,Privada,Particulares,Particulares,Donaciones,"1351846,46"
2011,Partit dels Socialistes de Catalunya,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"286727,36"
2011,Partit dels Socialistes de Catalunya,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"12967864,53"
2011,Partido Socialista Obrero Español,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"33051886,63"
2011,Partido Socialista Obrero Español,Pública,Subvención,Funcionamiento Ordinario,Gobiernos Autonómicos,"2795237,36"
2011,Partido Socialista Obrero Español,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"6058131,22"
2011,Partido Socialista Obrero Español,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"18702616,18"
2011,Partido Socialista Obrero Español,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"15153967,09"
2011,Partido Socialista Obrero Español,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"13924619,22"
2011,Partido Socialista Obrero Español,Pública,Subvención,Electoral,Elecciones Autonómicas 22/05/2011,"3610131,33"
2011,Partido Socialista Obrero Español,Pública,Subvención,Electoral,Elecciones Generales 22/11/2011,"5785144,82"
2011,Partido Socialista Obrero Español,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","18032378,04"
2011,Partido Socialista Obrero Español,Privada,Particulares,Particulares,Donaciones,"2908251,86"
2011,Partido Socialista Obrero Español,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"1833015,08"
2011,Partido Socialista Obrero Español,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"70101938,65"
2011,Partido Popular,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"36823386,29"
2011,Partido Popular,Pública,Subvención,Funcionamiento Ordinario,Gobiernos Autonómicos,"2195748,59"
2011,Partido Popular,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"6317143,18"
2011,Partido Popular,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"23367279,64"
2011,Partido Popular,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"17822757,05"
2011,Partido Popular,Pública,Subvención,Electoral,Parlamento de Cataluña 28/11/2010,"1157540,2"
2011,Partido Popular,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"15273373,82"
2011,Partido Popular,Pública,Subvención,Electoral,Elecciones Autonómicas 22/05/2011,"4017039,26"
2011,Partido Popular,Pública,Subvención,Electoral,Elecciones Generales 22/11/2011,"6842720,33"
2011,Partido Popular,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","12078165,31"
2011,Partido Popular,Privada,Particulares,Particulares,Donaciones,"2145070,55"
2011,Partido Popular,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"1776137,39"
2011,Partido Popular,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"77991929,89"
2011,Partido Nacionalista Vasco,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"1211031,7"
2011,Partido Nacionalista Vasco,Pública,Subvención,Funcionamiento Ordinario,Gobiernos Autonómicos,"2535491,94"
2011,Partido Nacionalista Vasco,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"470691,49"
2011,Partido Nacionalista Vasco,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,1332720
2011,Partido Nacionalista Vasco,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"2446660,38"
2011,Partido Nacionalista Vasco,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"1324809,83"
2011,Partido Nacionalista Vasco,Pública,Subvención,Electoral,Elecciones Generales 22/11/2011,"261870,53"
2011,Partido Nacionalista Vasco,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","1965435,73"
2011,Partido Nacionalista Vasco,Privada,Particulares,Particulares,Donaciones,"120702,88"
2011,Partido Nacionalista Vasco,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"5434684,08"
2011,Partido Nacionalista Vasco,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"27703592,87"
2011,Partido Comunista de España,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","149374,94"
2011,Partido Comunista de España,Privada,Particulares,Particulares,Donaciones,18553
2011,Partido Comunista de España,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"395537,03"
2011,Partido Comunista de España,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"406228,16"
2011,Partido Aragonés,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"41761,77"
2011,Partido Aragonés,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"448773,51"
2011,Partido Aragonés,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"167625,82"
2011,Partido Aragonés,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"230764,16"
2011,Partido Aragonés,Pública,Subvención,Electoral,Elecciones Autonómicas 22/05/2011,"95176,17"
2011,Partido Aragonés,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","107658,13"
2011,Partido Aragonés,Privada,Particulares,Particulares,Donaciones,144580
2011,Partido Aragonés,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"52116,68"
2011,Partido Aragonés,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"887606,42"
2011,Otras formaciones con representación parlamentaria,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"419799,63"
2011,Otras formaciones con representación parlamentaria,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"3827528,74"
2011,Otras formaciones,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"6283637,14"
2011,Otras formaciones,Pública,Subvención,Electoral,Parlamento de Cataluña 28/11/2010,"214496,91"
2011,Otras formaciones,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"1987543,51"
2011,Otras formaciones,Pública,Subvención,Electoral,Elecciones Autonómicas 22/05/2011,"481108,74"
2011,Otras formaciones,Pública,Subvención,Electoral,Elecciones Generales 22/11/2011,"743093,33"
2011,Nafarroa Bai,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"202908,69"
2011,Nafarroa Bai,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"62573,4"
2011,Nafarroa Bai,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"290564,27"
2011,Nafarroa Bai,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"40941,68"
2011,Nafarroa Bai,Pública,Subvención,Electoral,Elecciones Autonómicas 22/05/2011,"242603,22"
2011,Nafarroa Bai,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"1199,32"
2011,Izquierda Unida,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"2147659,34"
2011,Izquierda Unida,Pública,Subvención,Funcionamiento Ordinario,Gobiernos Autonómicos,"263114,89"
2011,Izquierda Unida,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"29663,94"
2011,Izquierda Unida,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"3271795,33"
2011,Izquierda Unida,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"3288117,19"
2011,Izquierda Unida,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"4316251,46"
2011,Izquierda Unida,Pública,Subvención,Electoral,Elecciones Autonómicas 22/05/2011,"540556,82"
2011,Izquierda Unida,Pública,Subvención,Electoral,Elecciones Generales 22/11/2011,"2230293,88"
2011,Izquierda Unida,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes",1631873
2011,Izquierda Unida,Privada,Particulares,Particulares,Donaciones,"123704,68"
2011,Izquierda Unida,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"1105285,19"
2011,Izquierda Unida,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"17420721,95"
2011,Iniciativa per Catalunya Verds,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"558968,07"
2011,Iniciativa per Catalunya Verds,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"1792325,63"
2011,Iniciativa per Catalunya Verds,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"1017465,19"
2011,Iniciativa per Catalunya Verds,Pública,Subvención,Electoral,Parlamento de Cataluña 28/11/2010,"859607,03"
2011,Iniciativa per Catalunya Verds,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"893979,12"
2011,Iniciativa per Catalunya Verds,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","247155,33"
2011,Iniciativa per Catalunya Verds,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"1010279,7"
2011,Iniciativa per Catalunya Verds,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"16136909,31"
2011,Grupo Senadores Nacionalistas,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"266151,43"
2011,Grupo Mixto,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"440910,54"
2011,Geroa Bai,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"20874,6"
2011,Geroa Bai,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"1996,6"
2011,Geroa Bai,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,0
2011,Foro de Ciudadanos,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"36630,47"
2011,Foro de Ciudadanos,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"468278,43"
2011,Foro de Ciudadanos,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"158159,28"
2011,Foro de Ciudadanos,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"211112,16"
2011,Foro de Ciudadanos,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","154168,05"
2011,Foro de Ciudadanos,Privada,Particulares,Particulares,Donaciones,"311212,67"
2011,Foro de Ciudadanos,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"21209,2"
2011,Foro de Ciudadanos,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"1063403,57"
2011,Ezker Batua Berdeak,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","126787,09"
2011,Ezker Batua Berdeak,Privada,Particulares,Particulares,Donaciones,4240
2011,Ezker Batua Berdeak,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"111097,28"
2011,Ezker Batua Berdeak,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"1066123,32"
2011,Eusko Alkartasuna,Pública,Subvención,Funcionamiento Ordinario,Gobiernos Autonómicos,"117675,23"
2011,Eusko Alkartasuna,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"110231,96"
2011,Eusko Alkartasuna,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"140945,69"
2011,Eusko Alkartasuna,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"117404,34"
2011,Eusko Alkartasuna,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","346622,59"
2011,Eusko Alkartasuna,Privada,Particulares,Particulares,Donaciones,"2045,64"
2011,Eusko Alkartasuna,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"111479,61"
2011,Eusko Alkartasuna,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"2396647,55"
2011,Esquerra Unida del País Valencià,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","224762,71"
2011,Esquerra Unida del País Valencià,Privada,Particulares,Particulares,Donaciones,"6362,26"
2011,Esquerra Unida del País Valencià,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"76772,82"
2011,Esquerra Unida del País Valencià,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"769853,53"
2011,Esquerra Republicana de Catalunya,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,990499
2011,Esquerra Republicana de Catalunya,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"4344,32"
2011,Esquerra Republicana de Catalunya,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"1900039,63"
2011,Esquerra Republicana de Catalunya,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"1085760,16"
2011,Esquerra Republicana de Catalunya,Pública,Subvención,Electoral,Parlamento de Cataluña 28/11/2010,"837963,86"
2011,Esquerra Republicana de Catalunya,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"1068316,08"
2011,Esquerra Republicana de Catalunya,Pública,Subvención,Electoral,Elecciones Generales 22/11/2011,"401505,56"
2011,Esquerra Republicana de Catalunya,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","895158,62"
2011,Esquerra Republicana de Catalunya,Privada,Particulares,Particulares,Donaciones,"69676,83"
2011,Esquerra Republicana de Catalunya,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"1462554,74"
2011,Esquerra Republicana de Catalunya,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"2482161,77"
2011,Entesa pel Progrés de Catalunya,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"20461,29"
2011,Entesa Catalana de Progrés,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"472768,7"
2011,Convergencia i Unió,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"135719,5"
2011,Convergencia i Unió,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"902665,99"
2011,Convergencia i Unió,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"7924504,52"
2011,Convergencia i Unió,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"2559172,68"
2011,Convergencia i Unió,Pública,Subvención,Electoral,Parlamento de Cataluña 28/11/2010,"2194360,94"
2011,Convergencia i Unió,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"681379,26"
2011,Convergencia i Unió,Pública,Subvención,Electoral,Elecciones Generales 22/11/2011,"691330,73"
2011,Convergencia i Unió,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"3303,89"
2011,Convergencia i Unió,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"12609005,27"
2011,Convergencia Democratica de Cataluña,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"1982488,22"
2011,Convergencia Democratica de Cataluña,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"203866,3"
2011,Convergencia Democratica de Cataluña,Privada,Particulares,Particulares,"Cuotas y aportaciones de afiliados, adheridos y simpatizantes","3115007,44"
2011,Convergencia Democratica de Cataluña,Privada,Particulares,Particulares,Donaciones,50484
2011,Convergencia Democratica de Cataluña,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"2881741,57"
2011,Convergencia Democratica de Cataluña,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"3607971,83"
2011,Compromís-Q,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"43763,94"
2011,Compromís-Q,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"1996,6"
2011,Compromís-Q,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,0
2011,Compromís pel País Valencià,Pública,Subvención,Funcionamiento Ordinario,Gobiernos Autonómicos,"69095,12"
2011,Compromís pel País Valencià,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"173799,35"
2011,Compromís pel País Valencià,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"21252,72"
2011,Coalición Canaria,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"567384,06"
2011,Coalición Canaria,Pública,Subvención,Funcionamiento Ordinario,Cortes Generales,"129139,99"
2011,Coalición Canaria,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,649605
2011,Coalición Canaria,Pública,Subvención,Funcionamiento Ordinario,Entidades Locales,"942049,49"
2011,Coalición Canaria,Pública,Subvención,Electoral,Elecciones Locales 22/05/2011,"298990,01"
2011,Coalición Canaria,Pública,Subvención,Electoral,Elecciones Autonómicas 22/05/2011,"486554,73"
2011,Coalición Canaria,Pública,Subvención,Electoral,Elecciones Generales 22/11/2011,"24036,31"
2011,Coalición Canaria,Privada,Particulares,Particulares,Donaciones,250000
2011,Coalición Canaria,Privada,Particulares,Particulares,Otros Ingresos Financiación Privada,"100,18"
2011,Coalición Canaria,Privada,Crédito,Deuda contraída con entidades de crédito,Deuda con entidades de crédito,"1027719,21"
2011,Chunta Aragonesista,Pública,Subvención,Funcionamiento Ordinario,Subvención Estatal,"20899,95"
2011,Chunta Aragonesista,Pública,Subvención,Funcionamiento Ordinario,Asambleas Legislativas Autonómicas y Ciudades Autónomas,"328388,07"
